customerID,tenure,MonthlyCharges,TotalCharges,Churn,Partner,MultipleLines,StreamingMovies,DeviceProtection,SeniorCitizen,StreamingTV,PaperlessBilling,OnlineSecurity,InternetService,TechSupport,PaymentMethod,PhoneService,Dependents,OnlineBackup,Contract,gender
7590-VHVEG,0.013888888888888888,0.11542288557213931,0.0034370394252026537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5575-GNVDE,0.4722222222222222,0.3850746268656716,0.21756401989683127,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1
3668-QPYBK,0.027777777777777776,0.35422885572139307,0.012452791083271925,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1
7795-CFOCW,0.625,0.23930348258706463,0.21195076455416362,0,1,0,0,1,0,0,1,1,0,1,2,0,0,1,1,1
9237-HQITU,0.027777777777777776,0.5218905472636816,0.017461542004421522,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
9305-CDSKC,0.1111111111111111,0.8099502487562189,0.09447540530582167,1,1,2,1,1,0,1,0,0,1,0,0,1,0,1,0,0
1452-KIOVK,0.3055555555555555,0.7049751243781094,0.22446112748710395,0,1,2,0,0,0,1,0,0,1,0,3,1,1,0,0,1
6713-OKOMC,0.1388888888888889,0.11442786069651739,0.03476188282977156,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
7892-POOKP,0.38888888888888884,0.8611940298507462,0.3507334653647753,1,0,2,1,1,0,1,0,0,1,1,0,1,0,1,0,0
6388-TABGU,0.861111111111111,0.3771144278606965,0.40161546610169496,0,1,1,0,0,0,0,1,1,0,0,2,1,1,0,1,1
9763-GRSKD,0.18055555555555555,0.3154228855721393,0.0676411661753869,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1
7469-LKBCI,0.2222222222222222,0.006965174129353213,0.03762896094325719,0,1,1,2,2,0,2,1,2,2,2,3,1,0,2,2,1
8091-TTVAX,0.8055555555555555,0.8169154228855721,0.6541428703021372,0,0,2,1,1,0,1,1,0,1,0,3,1,0,1,1,1
0280-XJGEX,0.6805555555555555,0.8502487562189055,0.5798982129697864,1,1,2,1,1,0,1,0,0,1,0,2,1,0,0,0,1
5129-JLPIS,0.3472222222222222,0.8681592039800995,0.3092817336035373,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1
3655-SNQYZ,0.9583333333333333,0.945273631840796,0.9090767778187179,0,0,2,1,1,0,1,1,1,1,1,3,1,1,0,2,0
8191-XWSZG,0.7222222222222222,0.023880597014925342,0.11778624723655123,0,1,1,2,2,0,2,1,2,2,2,1,1,0,2,1,0
